_id,FirstName,LastName,AnnualIncome,ProductName,Year
63dcb07e6b82cb33bce3c407,SABRINA,BLANCO,10000,"""Road-150 Red, 56""",2015
63dcb07e6b82cb33bce3c40c,GEOFFREY,RODRIGUEZ,10000,"""Road-150 Red, 52""",2015
63dcb07e6b82cb33bce3c411,SHAWN,LUO,10000,"""Mountain-100 Black, 48""",2015
63dcb07e6b82cb33bce3c413,ANDREA,COLLINS,10000,"""Mountain-100 Silver, 38""",2015
63dcb07e6b82cb33bce3c415,SABRINA,RUBIO,10000,"""Road-150 Red, 48""",2015
63dcb07e6b82cb33bce3c417,DEVIN,SANDERS,10000,"""Mountain-100 Silver, 44""",2015
63dcb07e6b82cb33bce3c41e,PRESTON,PRASAD,10000,"""Road-150 Red, 62""",2015
63dcb07e6b82cb33bce3c427,DEVIN,TAYLOR,10000,"""Mountain-100 Silver, 38""",2015
63dcb07e6b82cb33bce3c437,FRANCISCO,GONZALEZ,10000,"""Mountain-100 Silver, 44""",2015
63dcb07e6b82cb33bce3c445,CASSANDRA,SARA,10000,"""Road-150 Red, 44""",2015
63dcb07e6b82cb33bce3c448,MEREDITH,VANCE,10000,"""Road-150 Red, 52""",2015
63dcb07e6b82cb33bce3c450,GILBERT,LIANG,10000,"""Mountain-100 Black, 42""",2015
63dcb07e6b82cb33bce3c454,KRISTINE,SANDBERG,10000,"""Mountain-100 Silver, 48""",2015
63dcb07e6b82cb33bce3c461,MARGARET,LU,10000,"""Road-150 Red, 56""",2015
63dcb07e6b82cb33bce3c476,TRACY,ANDERSEN,10000,"""Road-150 Red, 62""",2015
63dcb07e6b82cb33bce3c488,MAYRA,RAMAN,10000,"""Road-150 Red, 52""",2015
63dcb07e6b82cb33bce3c49a,ARIANNA,WARD,10000,"""Road-150 Red, 52""",2015
63dcb07e6b82cb33bce3c49d,KRISTY,RUBIO,10000,"""Mountain-100 Black, 38""",2015
63dcb07e6b82cb33bce3c4b6,RACHEL,POWELL,10000,"""Road-150 Red, 56""",2015
63dcb07e6b82cb33bce3c4ba,CLAYTON,SHARMA,10000,"""Mountain-100 Silver, 42""",2015
63dcb07e6b82cb33bce3c4c3,JENNIFER,GREEN,10000,"""Mountain-200 Silver, 42""",2015
63dcb07e6b82cb33bce3c4e3,KAITLYN,BENNETT,10000,"""Road-550-W Yellow, 38""",2015
63dcb07e6b82cb33bce3c4e8,CASEY,MUNOZ,10000,"""Mountain-200 Black, 42""",2015
63dcb07e6b82cb33bce3c4eb,MANUEL,GARCIA,10000,"""Road-250 Black, 44""",2015
63dcb07e6b82cb33bce3c504,WALTER,DOMINGUEZ,10000,"""Mountain-200 Black, 46""",2015
63dcb07e6b82cb33bce3c51e,ERICA,LIN,10000,"""Road-250 Black, 44""",2015
63dcb07e6b82cb33bce3c51f,GRANT,RAI,10000,"""Mountain-200 Black, 46""",2015
63dcb07e6b82cb33bce3c55f,DEREK,RAJE,10000,"""Mountain-200 Silver, 42""",2015
63dcb07e6b82cb33bce3c561,JACLYN,SHEN,10000,"""Mountain-200 Black, 42""",2015
